index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
4,33,True,1,13,1,1|1|63|33|33|1|1|1|1|1|1|1|1|1|1
30,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8
46,11,False,11,15,-1,25|35|25|85|40|58|81|85|41|46|25|5|5|58|5
60,36,False,36,5,36,36|36|36|36|1|34|34|34|36|36|36|36|34|36|36
80,31,True,39,15,39,39|39|39|39|25|39|39|39|39|39|39|39|39|39|39
84,23,False,23,0,23,23|23|23|23|23|23|23|23|23|23|23|23|23|23|23
86,66,False,66,15,61,61|61|61|22|10|61|61|10|61|61|61|61|61|22|61
89,18,False,18,0,18,18|18|18|18|18|18|18|18|18|18|18|18|18|18|18
99,93,False,93,8,93,44|93|93|91|30|73|44|29|93|30|93|93|93|44|93
124,88,False,88,0,88,88|88|88|88|88|88|88|88|88|88|88|88|88|88|88
128,53,False,53,15,92,92|92|92|92|92|92|92|83|92|92|92|92|92|92|92
186,81,False,81,2,81,88|81|81|10|81|81|81|81|81|81|81|81|81|81|81
188,98,False,98,7,98,98|98|21|98|98|98|21|98|98|21|98|21|21|21|21
212,36,True,37,15,37,37|37|37|37|37|37|37|37|37|37|37|37|37|37|37
228,11,False,11,12,35,35|35|35|35|11|35|35|11|35|2|35|35|35|11|35
233,48,True,66,15,66,66|66|66|66|66|66|66|66|66|66|66|66|66|66|66
274,82,False,82,0,82,82|82|82|82|82|82|82|82|82|82|82|82|82|82|82
282,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
290,7,False,7,10,79,7|79|7|7|79|79|79|79|7|79|7|79|79|79|79
295,50,False,50,13,77,67|50|77|77|57|55|50|67|18|77|77|24|77|75|77
320,68,False,68,2,68,68|10|68|68|68|68|68|68|68|68|68|68|68|10|68
322,62,True,30,14,30,30|30|30|30|30|30|30|62|30|30|30|30|30|30|30
328,10,False,10,1,10,10|10|32|10|10|10|10|10|10|10|10|10|10|10|10
335,12,True,73,15,73,73|73|30|73|73|73|73|73|73|30|73|73|73|73|73
337,88,False,88,9,-1,84|88|84|88|88|84|88|84|89|84|88|45|89|88|84
363,79,False,79,1,79,79|79|79|79|79|79|79|72|79|79|79|79|79|79|79
373,26,True,71,15,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
387,11,False,11,15,98,98|46|98|98|98|98|98|98|46|46|98|46|98|98|98
401,46,False,46,9,46,98|98|98|98|35|46|35|46|46|98|46|46|46|35|35
405,87,False,87,3,87,87|87|87|87|87|87|87|87|16|87|87|87|16|87|16
416,49,False,49,0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49
434,74,True,71,15,52,52|96|96|52|47|47|52|59|52|52|59|47|47|52|59
486,72,False,72,4,72,72|72|67|3|72|72|3|72|72|72|72|72|3|72|72
502,1,False,1,1,1,1|1|1|1|1|1|1|1|1|1|1|1|54|1|1
503,81,False,81,10,13,81|13|81|13|37|13|81|13|13|13|81|81|13|13|37
554,69,False,69,12,40,69|40|69|20|40|20|84|40|3|12|40|41|69|40|40
560,48,False,48,1,48,90|48|48|48|48|48|48|48|48|48|48|48|48|48|48
598,98,False,98,12,46,98|46|46|46|98|46|46|46|46|46|46|98|46|46|46
619,33,False,33,1,33,33|33|37|33|33|33|33|33|33|33|33|33|33|33|33
627,66,False,66,0,66,66|66|66|66|66|66|66|66|66|66|66|66|66|66|66
669,30,False,30,10,93,93|95|30|93|93|30|93|93|93|30|93|30|95|30|93
686,19,False,19,0,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19
687,59,False,59,15,56,56|56|56|56|56|56|56|56|56|56|56|56|56|56|56
691,32,False,32,15,50,36|50|50|50|50|74|36|75|50|50|80|36|66|67|36
692,98,False,98,8,98,98|98|46|98|46|98|98|35|98|11|11|98|46|46|11
696,12,False,12,15,81,81|81|89|81|81|81|89|81|84|89|81|89|90|13|81
706,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5
727,90,True,62,15,62,62|62|82|62|82|62|62|62|62|62|62|82|62|62|62
763,6,False,6,1,6,6|6|6|6|6|6|6|6|6|14|6|6|6|6|6
784,36,False,36,15,45,45|45|45|45|45|45|45|26|45|88|45|45|45|45|45
795,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
800,82,True,66,15,66,66|66|66|66|66|66|66|66|66|66|64|66|66|66|66
801,71,True,95,15,95,95|95|95|30|95|30|95|95|30|95|30|95|30|95|95
805,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7
814,95,True,71,15,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
822,99,True,0,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
823,60,False,60,0,60,60|60|60|60|60|60|60|60|60|60|60|60|60|60|60
868,37,False,37,14,17,17|17|17|37|17|17|17|17|17|17|17|17|17|17|17
874,53,False,53,0,53,53|53|53|53|53|53|53|53|53|53|53|53|53|53|53
898,73,False,73,10,76,73|76|76|76|73|76|76|73|73|76|73|76|76|76|76
910,88,False,88,3,88,34|88|88|88|88|34|34|88|88|88|88|88|88|88|88
924,71,False,71,0,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
944,54,True,73,15,91,91|91|91|91|91|91|91|91|91|91|91|91|44|91|91
946,57,True,28,15,28,28|28|28|28|28|28|28|28|28|28|28|28|28|28|28
949,42,False,42,10,34,27|27|42|34|27|42|34|34|34|34|34|42|34|42|42
950,72,True,14,15,14,14|14|14|14|14|14|14|14|14|14|29|14|14|14|14
952,18,False,18,0,18,18|18|18|18|18|18|18|18|18|18|18|18|18|18|18
963,99,True,58,15,58,58|58|58|58|58|58|58|58|58|58|58|58|13|58|58
977,28,False,28,0,28,28|28|28|28|28|28|28|28|28|28|28|28|28|28|28
1004,22,True,11,15,11,2|98|11|11|11|11|11|98|11|98|11|11|11|11|11
1005,18,False,18,2,18,18|18|45|18|18|18|18|18|14|18|18|18|18|18|18
1009,6,False,6,1,6,6|6|6|6|6|6|45|6|6|6|6|6|6|6|6
1012,30,False,30,0,30,30|30|30|30|30|30|30|30|30|30|30|30|30|30|30
1021,98,False,98,15,46,11|46|46|46|46|46|46|46|46|46|46|46|46|46|46
1035,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7
1036,33,False,33,15,47,47|47|47|47|47|47|47|47|47|47|47|47|47|47|47
1040,12,False,12,1,12,12|12|12|12|12|12|12|12|12|12|12|12|12|68|12
1052,19,False,19,0,19,19|19|19|19|19|19|19|19|19|19|19|19|19|19|19
1056,92,False,92,13,62,62|70|70|83|83|62|45|62|62|92|62|45|70|70|92
1057,2,True,53,14,53,53|53|53|57|9|53|53|53|53|53|53|45|53|2|53
1079,6,True,55,15,55,55|55|55|29|55|80|66|31|55|55|55|29|55|55|74
1085,44,False,44,0,44,44|44|44|44|44|44|44|44|44|44|44|44|44|44|44
1093,71,False,71,0,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
1123,94,True,64,15,74,74|50|64|50|74|50|38|50|50|74|74|74|4|74|74
1195,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
1285,89,True,27,15,27,27|80|27|27|27|27|27|27|27|27|27|27|80|27|27
1321,75,True,7,15,24,24|24|7|79|79|24|7|79|7|79|24|24|7|24|7
1341,59,False,59,6,59,52|59|59|59|52|59|52|59|59|59|59|59|52|52|52
1359,62,False,62,0,62,62|62|62|62|62|62|62|62|62|62|62|62|62|62|62
1360,39,True,26,15,34,34|34|84|74|64|50|34|34|34|36|34|29|34|34|26
1371,26,True,71,15,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
1393,44,False,44,1,44,44|44|44|18|44|44|44|44|44|44|44|44|44|44|44
1414,29,True,16,15,16,28|16|16|16|16|16|16|16|28|16|16|16|16|16|16
1425,20,False,20,2,20,20|84|20|20|20|20|20|20|20|20|20|20|20|84|20
1442,22,False,22,13,61,61|61|61|61|22|61|61|61|22|61|61|61|61|61|61
1453,9,True,74,15,77,55|77|77|18|72|55|77|74|74|77|55|77|77|4|77
1496,24,False,24,8,-1,7|7|24|24|7|24|7|24|24|6|7|24|7|24|7
1505,20,False,20,0,20,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20
1520,11,False,11,10,-1,35|11|11|65|2|87|11|2|2|2|11|40|2|11|32
1533,51,True,56,15,56,56|47|56|56|59|56|47|56|56|56|56|56|47|56|56
1535,29,False,29,14,15,15|38|15|15|15|15|15|15|15|15|15|15|15|15|29
1538,27,False,27,3,27,27|36|27|27|27|27|27|27|27|27|27|74|27|27|66
1553,37,True,17,15,17,17|17|17|17|17|17|17|17|17|17|17|17|17|17|17
1555,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8
1561,92,False,92,15,83,83|83|83|83|83|83|83|83|83|83|83|83|83|83|83
1562,59,False,59,1,59,59|59|59|59|59|59|56|59|59|59|59|59|59|59|59
1572,76,False,76,0,76,76|76|76|76|76|76|76|76|76|76|76|76|76|76|76
1573,90,False,90,1,90,90|90|90|90|90|90|81|90|90|90|90|90|90|90|90
1576,98,False,98,11,98,28|95|98|15|98|28|2|16|2|98|46|51|98|46|36
1579,10,False,10,15,83,83|83|83|83|83|83|83|83|83|83|0|83|83|83|83
1599,6,False,6,6,6,45|6|88|6|6|6|45|6|6|88|45|6|6|6|88
1601,24,False,24,13,6,85|6|7|24|24|7|7|6|6|85|6|6|6|7|6
1603,90,False,90,15,15,15|38|66|8|89|31|66|89|89|15|31|37|15|15|15
1618,57,False,57,11,53,57|53|53|53|57|53|57|53|53|53|57|53|53|53|53
1625,75,False,75,0,75,75|75|75|75|75|75|75|75|75|75|75|75|75|75|75
1631,31,True,27,15,55,27|55|55|44|27|27|77|18|55|18|27|55|18|44|55
1634,57,False,57,7,57,57|57|57|53|53|57|57|0|53|53|57|57|0|57|83
1659,33,False,33,1,33,33|33|33|33|33|33|33|33|96|33|33|33|33|33|33
1683,47,False,47,0,47,47|47|47|47|47|47|47|47|47|47|47|47|47|47|47
1720,46,True,97,15,66,66|66|66|66|66|66|66|66|97|66|66|97|66|66|66
1722,23,False,23,8,60,60|23|23|60|60|23|60|60|60|23|60|23|23|23|60
1737,47,False,47,1,47,47|47|47|94|47|47|47|47|47|47|47|47|47|47|47
1748,67,True,87,15,16,16|86|86|86|87|16|16|16|87|16|16|16|16|87|16
1757,35,False,35,15,2,2|40|40|40|11|2|2|2|70|2|40|40|54|2|11
1769,41,False,41,0,41,41|41|41|41|41|41|41|41|41|41|41|41|41|41|41
1771,27,False,27,14,-1,14|90|14|91|68|1|27|90|58|67|94|10|31|91|67
1779,13,False,13,0,13,13|13|13|13|13|13|13|13|13|13|13|13|13|13|13
1787,49,False,49,9,49,49|78|78|49|17|49|17|78|78|17|17|49|37|49|49
1791,19,True,89,15,89,89|89|89|89|89|89|89|89|89|89|89|89|89|89|89
1797,97,True,93,15,93,93|32|93|93|93|93|93|93|93|93|93|93|93|93|93
1818,8,False,8,2,8,8|8|8|8|9|8|8|9|8|8|8|8|8|8|8
1836,14,False,14,0,14,14|14|14|14|14|14|14|14|14|14|14|14|14|14|14
1843,1,False,1,1,1,1|1|1|1|1|1|1|1|1|1|1|1|1|92|1
1849,43,True,87,15,94,94|94|94|94|94|94|94|94|87|94|94|94|94|94|94
1884,87,False,87,13,37,87|13|37|37|81|76|37|13|87|84|37|37|13|37|37
