index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
1,29,False,29,0,29,29|29|29|29|29|29|29|29|29|29|29|29|29|29|29
12,82,False,82,0,82,82|82|82|82|82|82|82|82|82|82|82|82|82|82|82
21,20,True,59,15,59,59|59|59|59|59|98|59|59|59|59|59|59|59|23|59
22,70,False,70,11,70,50|47|70|70|70|92|70|26|39|22|92|92|40|11|26
24,59,False,59,14,56,56|56|56|56|85|56|59|56|56|34|56|56|92|56|85
37,11,False,11,14,98,11|2|2|98|35|98|35|98|2|98|39|98|6|2|98
45,76,False,76,2,76,76|76|76|6|76|76|76|76|86|76|76|76|76|76|76
49,78,False,78,14,8,8|38|8|8|8|8|8|11|8|8|8|8|8|8|78
57,20,False,20,0,20,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20
75,18,False,18,15,2,35|2|2|68|64|97|35|65|7|64|2|46|28|98|42
90,46,False,46,1,46,46|46|46|11|46|46|46|46|46|46|46|46|46|46|46
113,4,False,4,5,4,74|4|15|4|4|80|4|4|4|4|4|4|50|4|50
122,46,False,46,10,46,39|11|46|83|21|98|46|11|48|21|95|46|67|46|46
123,53,False,53,13,2,95|2|53|2|10|2|10|2|2|2|53|60|10|2|10
155,29,False,29,14,56,56|56|93|35|56|29|56|56|97|34|56|38|56|13|56
160,64,False,64,4,64,55|80|64|74|36|64|64|64|64|64|64|64|64|64|64
172,21,False,21,3,21,21|21|92|21|21|60|21|21|21|21|60|21|21|21|21
191,67,False,67,4,67,67|67|67|30|32|67|67|67|67|67|67|67|27|71|67
201,73,False,73,11,30,73|54|95|73|30|30|73|30|30|73|30|30|55|30|30
232,19,True,79,15,79,79|7|6|79|6|79|79|79|24|79|6|6|6|24|7
246,54,False,54,0,54,54|54|54|54|54|54|54|54|54|54|54|54|54|54|54
247,0,True,65,15,-1,80|34|6|51|99|22|34|65|80|60|18|31|77|86|75
249,40,False,40,2,40,40|40|40|40|40|40|40|40|40|40|40|40|40|25|39
266,18,False,18,2,18,18|18|18|18|18|18|80|18|18|18|18|32|18|18|18
289,84,False,84,0,84,84|84|84|84|84|84|84|84|84|84|84|84|84|84|84
300,60,False,60,4,60,60|60|60|60|23|23|60|23|60|60|60|60|23|60|60
306,31,False,31,15,33,63|33|96|81|33|89|37|33|81|17|86|33|37|33|81
332,87,False,87,12,9,40|50|9|2|16|87|9|11|87|87|35|9|76|25|9
361,80,False,80,7,80,80|4|80|4|4|80|80|80|27|80|80|80|43|4|4
380,55,False,55,11,55,1|72|66|64|64|66|55|74|14|66|55|62|63|55|55
395,3,False,3,14,-1,3|38|79|33|65|34|21|66|38|4|69|65|63|33|55
